,Date mutation,Nature mutation,Valeur fonciere,No voie,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Section,No plan,Nombre de lots,Code type local,Type local,Surface reelle bati,Nombre pieces principales
1739544,16/04/2018,Vente,"112000,00",69.0,RUE,5891,MARCEL THIL,51100.0,REIMS,51,454,AV,761,2,2.0,Appartement,68.0,3.0
1739548,04/05/2018,Vente,"221860,00",14.0,RUE,3210,DES ELUS,51100.0,REIMS,51,454,IL,85,2,2.0,Appartement,69.0,3.0
1739549,25/04/2018,Vente,"105000,00",71.0,RUE,5891,MARCEL THIL,51100.0,REIMS,51,454,AV,761,2,2.0,Appartement,66.0,4.0
1739551,30/04/2018,Vente,"245000,00",20.0,RUE,8250,DE SAVOYE,51100.0,REIMS,51,454,BH,50,1,2.0,Appartement,109.0,3.0
1739553,23/04/2018,Vente,"214400,00",13.0,RUE,3160,EDME MOREAU,51100.0,REIMS,51,454,AI,618,0,1.0,Maison,115.0,4.0
1739568,03/05/2018,Vente,"266140,00",1.0,RUE,1640,DU CHALET,51100.0,REIMS,51,454,BK,329,0,1.0,Maison,149.0,4.0
1739569,27/04/2018,Vente,"244000,00",10.0,RUE,5030,JOSEPH JACQUET,51100.0,REIMS,51,454,CL,667,0,1.0,Maison,110.0,4.0
1739572,19/04/2018,Vente,"300000,00",61.0,RUE,8950,DE VENISE,51100.0,REIMS,51,454,CY,444,0,2.0,Appartement,55.0,2.0
1739574,19/04/2018,Vente,"300000,00",61.0,RUE,8950,DE VENISE,51100.0,REIMS,51,454,CY,444,0,2.0,Appartement,55.0,3.0
1739578,23/04/2018,Vente en l'état futur d'achèvement,"143000,00",49.0,BD,2650,DAUPHINOT,51100.0,REIMS,51,454,CT,610,1,2.0,Appartement,39.0,2.0
1739583,23/04/2018,Vente en l'état futur d'achèvement,"325000,00",40.0,RUE,7790,DE ST BRICE,51100.0,REIMS,51,454,AT,247,1,1.0,Maison,111.0,4.0
1739584,25/04/2018,Vente,"48000,00",32.0,RUE,6160,DE METZ,51100.0,REIMS,51,454,CV,520,1,2.0,Appartement,18.0,1.0
1739587,24/04/2018,Vente,"111000,00",21.0,ALL,1725,CH NICOLAS ROLAND,51100.0,REIMS,51,454,DM,458,2,2.0,Appartement,70.0,3.0
1739588,21/04/2018,Vente,"53000,00",45.0,RUE,8430,DE STRASBOURG,51100.0,REIMS,51,454,CV,561,1,2.0,Appartement,22.0,1.0
1739590,02/05/2018,Vente,"110000,00",76.0,RUE,5615,LOUIS PASTEUR NEUV,51100.0,REIMS,51,454,KI,231,1,2.0,Appartement,60.0,3.0
1739591,23/04/2018,Vente,"197430,00",11.0,RUE,0105,ALFRED DE MUSSET,51100.0,REIMS,51,454,AD,551,0,1.0,Maison,81.0,5.0
1739592,27/04/2018,Vente en l'état futur d'achèvement,"125000,00",49.0,BD,2650,DAUPHINOT,51100.0,REIMS,51,454,CT,610,1,2.0,Appartement,42.0,2.0
1739594,19/04/2018,Vente,"63000,00",20.0,RUE,0820,DE BERRU,51100.0,REIMS,51,454,CW,338,1,2.0,Appartement,24.0,1.0
1739596,27/04/2018,Vente en l'état futur d'achèvement,"174954,00",412.0,AV,5300,DE LAON,51100.0,REIMS,51,454,AE,142,1,2.0,Appartement,80.0,3.0
1739597,27/04/2018,Vente,"295000,00",6.0,RUE,6270,MONTOISON,51100.0,REIMS,51,454,CX,163,2,2.0,Appartement,117.0,4.0
1739599,20/04/2018,Vente en l'état futur d'achèvement,"155820,00",42.0,RUE,4440,HENRI BARBUSSE,51100.0,REIMS,51,454,CL,1007,1,2.0,Appartement,44.0,2.0
1739605,27/04/2018,Vente,"100000,00",37.0,RUE,6010,MARTIN PELLER,51100.0,REIMS,51,454,HX,545,2,2.0,Appartement,57.0,3.0
1739607,20/04/2018,Vente,"72000,00",14.0,AV,3455,DE L EUROPE,51100.0,REIMS,51,454,CN,577,1,2.0,Appartement,77.0,4.0
1739611,23/04/2018,Vente en l'état futur d'achèvement,"146000,00",215.0,RUE,6470,DE NEUFCHATEL,51100.0,REIMS,51,454,AH,79,1,2.0,Appartement,71.0,3.0
1739613,14/05/2018,Vente,"156000,00",83.0,BD,4760,JAMIN,51100.0,REIMS,51,454,BI,663,3,2.0,Appartement,78.0,3.0
1739615,25/04/2018,Vente,"113000,00",16.0,RUE,9260,WERLE,51100.0,REIMS,51,454,BH,360,2,2.0,Appartement,46.0,2.0
1739616,20/04/2018,Vente,"125000,00",52.0,RUE,1550,CERES,51100.0,REIMS,51,454,CX,78,1,2.0,Appartement,69.0,3.0
1739618,23/04/2018,Vente,"45500,00",15.0,RUE,0740,BELIN,51100.0,REIMS,51,454,AX,258,1,2.0,Appartement,25.0,2.0
1739620,20/04/2018,Vente,"178000,00",37.0,RUE,8500,DE TALLEYRAND,51100.0,REIMS,51,454,IL,338,2,2.0,Appartement,90.0,3.0
