,Date mutation,Nature mutation,Valeur fonciere,No voie,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Section,No plan,Nombre de lots,Code type local,Type local,Surface reelle bati,Nombre pieces principales,Annee,Mois,Prix metre carre,Pays,Latitude,Longitude
54,2020-01-10,Vente,850000.0,193.0,RUE,9040,DE VESLE,51100,REIMS,51,454,HZ,1,0,2.0,Appartement,38.0,2.0,2020,1,22368.42105263158,France,49.2510591,4.0225374
55,2020-01-10,Vente,850000.0,193.0,RUE,9040,DE VESLE,51100,REIMS,51,454,HZ,1,0,2.0,Appartement,43.0,2.0,2020,1,19767.441860465115,France,49.2510591,4.0225374
56,2020-01-10,Vente,850000.0,193.0,RUE,9040,DE VESLE,51100,REIMS,51,454,HZ,1,0,2.0,Appartement,34.0,2.0,2020,1,25000.0,France,49.2510591,4.0225374
59,2020-01-10,Vente,850000.0,193.0,RUE,9040,DE VESLE,51100,REIMS,51,454,HZ,1,0,2.0,Appartement,30.0,2.0,2020,1,28333.333333333332,France,49.2510591,4.0225374
62,2020-01-17,Vente,127000.0,6.0,COUR,2660,DAUPHINOT,51100,REIMS,51,454,BH,202,1,2.0,Appartement,59.0,3.0,2020,1,2152.5423728813557,France,49.2592984,4.0434548
63,2020-01-22,Vente,130000.0,51.0,RUE,600,DU BARBATRE,51100,REIMS,51,454,CY,200,2,2.0,Appartement,78.0,3.0,2020,1,1666.6666666666667,France,49.2494881,4.0397836
64,2020-01-15,Vente,182000.0,20.0,RUE,4345,DE LA HACHETTE,51100,REIMS,51,454,KI,79,0,1.0,Maison,120.0,6.0,2020,1,1516.6666666666667,France,49.2866192,4.013223099999999
65,2020-01-13,Vente,183658.0,3.0,RUE,4720,D ITALIE,51100,REIMS,51,454,BK,148,0,1.0,Maison,64.0,3.0,2020,1,2869.65625,France,49.2657731,4.051328199999999
66,2020-01-09,Vente,172755.0,87.0,AV,3455,DE L EUROPE,51100,REIMS,51,454,CE,104,0,1.0,Maison,77.0,4.0,2020,1,2243.5714285714284,France,49.2469505,4.0637509
67,2020-01-03,Vente,52500.0,34.0,RUE,630,DU BASTION,51100,REIMS,51,454,CW,277,1,2.0,Appartement,25.0,2.0,2020,1,2100.0,France,49.2586746,4.047111399999999
68,2020-01-09,Vente,170000.0,4.0,CHE,1780,DES CHARBONNIERS,51100,REIMS,51,454,DT,798,1,2.0,Appartement,80.0,4.0,2020,1,2125.0,France,49.2337503,4.0268885
69,2020-01-10,Vente,232400.0,33.0,RUE,4560,HINCMAR,51100,REIMS,51,454,IK,586,1,1.0,Maison,100.0,5.0,2020,1,2324.0,France,49.2510408,4.0295681
70,2020-01-23,Vente,136000.0,18.0,RUE,1100,BOUDET,51100,REIMS,51,454,AX,678,0,1.0,Maison,61.0,4.0,2020,1,2229.5081967213114,France,49.2717146,4.022359199999999
71,2020-01-22,Vente,103000.0,20.0,RUE,410,DE L ARQUEBUSE,51100,REIMS,51,454,IM,328,2,2.0,Appartement,34.0,1.0,2020,1,3029.4117647058824,France,49.2534151,4.022442799999999
72,2020-01-10,Vente,330000.0,57.0,AV,4900,JEAN JAURES,51100,REIMS,51,454,BH,208,2,2.0,Appartement,123.0,4.0,2020,1,2682.9268292682927,France,49.25917640000001,4.043315499999999
73,2020-01-13,Vente,109000.0,3.0,BD,9070,VICTOR HUGO,51100,REIMS,51,454,CZ,607,2,2.0,Appartement,43.0,2.0,2020,1,2534.8837209302324,France,49.245809,4.0453804
74,2020-01-10,Vente,127000.0,41.0,RUE,1670,DU CHAMP DE MARS,51100,REIMS,51,454,BI,20,1,2.0,Appartement,20.0,1.0,2020,1,6350.0,France,49.26416709999999,4.0401855
75,2020-01-10,Vente,127000.0,41.0,RUE,1670,DU CHAMP DE MARS,51100,REIMS,51,454,BI,20,1,2.0,Appartement,25.0,1.0,2020,1,5080.0,France,49.26416709999999,4.0401855
76,2020-01-15,Vente,123200.0,32.0,RUE,6920,PETIT DELBOURG,51100,REIMS,51,454,CL,573,1,2.0,Appartement,60.0,3.0,2020,1,2053.3333333333335,France,49.2513782,4.0509271
77,2020-01-15,Vente,123200.0,32.0,RUE,6920,PETIT DELBOURG,51100,REIMS,51,454,CL,573,1,2.0,Appartement,55.0,3.0,2020,1,2240.0,France,49.2513782,4.0509271
78,2020-01-24,Vente,165000.0,10.0,RUE,2850,DE DIJON,51100,REIMS,51,454,DR,90,0,1.0,Maison,81.0,4.0,2020,1,2037.037037037037,France,49.2349429,4.0171487
79,2020-01-15,Vente,154000.0,63.0,RUE,1640,DU CHALET,51100,REIMS,51,454,BK,436,2,2.0,Appartement,109.0,5.0,2020,1,1412.8440366972477,France,49.2651161,4.0510981
80,2020-01-15,Vente,206700.0,61.0,RUE,7730,DE SACY,51100,REIMS,51,454,DO,310,0,1.0,Maison,104.0,5.0,2020,1,1987.5,France,49.23768519999999,4.0268325
81,2020-01-17,Vente,229550.0,39.0,RUE,1310,BUIRETTE,51100,REIMS,51,454,IM,211,2,2.0,Appartement,88.0,3.0,2020,1,2608.5227272727275,France,49.2539391,4.024449
82,2020-01-17,Vente,172000.0,8.0,RUE,8950,DE VENISE,51100,REIMS,51,454,IK,1335,1,2.0,Appartement,90.0,4.0,2020,1,1911.111111111111,France,49.2489616,4.0361875
83,2020-01-27,Vente,693900.0,24.0,RUE,6230,DU MONT D ARENE,51100,REIMS,51,454,AV,363,0,1.0,Maison,160.0,7.0,2020,1,4336.875,France,49.2637121,4.0251861
84,2020-01-16,Vente,70200.0,22.0,RUE,950,BLAVIER,51100,REIMS,51,454,AX,827,1,2.0,Appartement,30.0,1.0,2020,1,2340.0,France,49.2727944,4.022393099999999
85,2020-01-13,Vente,274070.0,197.0,RUE,6470,DE NEUFCHATEL,51100,REIMS,51,454,AH,621,0,1.0,Maison,155.0,5.0,2020,1,1768.1935483870968,France,49.27955009999999,4.0269238
86,2020-01-16,Vente,174000.0,13.0,RUE,4120,GOIOT,51100,REIMS,51,454,CZ,607,2,2.0,Appartement,84.0,4.0,2020,1,2071.4285714285716,France,49.2458153,4.046056699999999
87,2020-01-08,Vente,54500.0,192.0,AV,5300,DE LAON,51100,REIMS,51,454,AX,847,1,2.0,Appartement,20.0,1.0,2020,1,2725.0,France,49.2688062,4.0236005
88,2020-01-16,Vente,225000.0,12.0,RUE,9270,XAVIER DIZI,51100,REIMS,51,454,BK,368,0,1.0,Maison,122.0,4.0,2020,1,1844.2622950819673,France,49.2636329,4.0500606
89,2020-01-20,Vente,247900.0,57.0,RUE,3300,DES EPARGES,51100,REIMS,51,454,CL,277,0,1.0,Maison,108.0,3.0,2020,1,2295.3703703703704,France,49.2536249,4.0531424
90,2020-01-15,Vente,124100.0,7.0,ESP,7433,REMI PELLOT,51100,REIMS,51,454,AN,169,1,2.0,Appartement,72.0,3.0,2020,1,1723.611111111111,France,49.2709887,4.019693600000001
91,2020-01-08,Vente,184870.0,66.0,RUE,5302,LA PEROUSE,51100,REIMS,51,454,EV,223,0,1.0,Maison,98.0,6.0,2020,1,1886.4285714285713,France,49.223592,4.0336499
92,2020-01-17,Vente,294000.0,73.0,AV,6823,PAUL MARCHANDEAU,51100,REIMS,51,454,DO,26,0,1.0,Maison,121.0,6.0,2020,1,2429.7520661157023,France,49.2404946,4.0224163
93,2020-01-02,Vente,280000.0,4.0,PL,7480,DE LA REPUBLIQUE,51100,REIMS,51,454,AT,120,2,2.0,Appartement,115.0,5.0,2020,1,2434.782608695652,France,49.2616289,4.028989699999999
94,2020-01-20,Vente,224750.0,19.0,RUE,3650,FOLLE PEINE,51100,REIMS,51,454,CY,737,2,2.0,Appartement,94.0,5.0,2020,1,2390.9574468085107,France,49.2450561,4.0334037
95,2020-01-17,Vente,530000.0,72.0,BD,5680,LUNDY,51100,REIMS,51,454,BE,3,4,2.0,Appartement,179.0,7.0,2020,1,2960.893854748603,France,49.261453,4.0326242
96,2020-01-16,Vente,220000.0,2.0,AV,3913,DU GENERAL DE GAULLE,51100,REIMS,51,454,HX,547,1,2.0,Appartement,100.0,5.0,2020,1,2200.0,France,49.2484812,4.020906699999999
